score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
<__main__.objective object at 0x7f83d019d588>,0.00015282630920410156,False,,,1,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.00015282630920410156,43029,BOSS8-OS,172.25.0.208,0.00015282630920410156,0,1
<__main__.objective object at 0x7f83d00dc940>,0.009122133255004883,False,,,2,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.009274959564208984,43029,BOSS8-OS,172.25.0.208,0.009274959564208984,0,2
<__main__.objective object at 0x7f83d00dce80>,0.002946615219116211,False,,,3,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.012221574783325195,43029,BOSS8-OS,172.25.0.208,0.012221574783325195,0,3
<__main__.objective object at 0x7f83d00dcef0>,0.0029916763305664062,False,,,4,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.015213251113891602,43029,BOSS8-OS,172.25.0.208,0.015213251113891602,0,4
<__main__.objective object at 0x7f83d00dc198>,0.0029878616333007812,False,,,5,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.018201112747192383,43029,BOSS8-OS,172.25.0.208,0.018201112747192383,0,5
<__main__.objective object at 0x7f83d00dc160>,0.0035681724548339844,False,,,6,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.021769285202026367,43029,BOSS8-OS,172.25.0.208,0.021769285202026367,0,6
<__main__.objective object at 0x7f83d00dcdd8>,0.0043582916259765625,False,,,7,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.02612757682800293,43029,BOSS8-OS,172.25.0.208,0.02612757682800293,0,7
<__main__.objective object at 0x7f83d00dcc50>,0.003612518310546875,False,,,8,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.029740095138549805,43029,BOSS8-OS,172.25.0.208,0.029740095138549805,0,8
<__main__.objective object at 0x7f83d00dc908>,0.0028285980224609375,False,,,9,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.03256869316101074,43029,BOSS8-OS,172.25.0.208,0.03256869316101074,0,9
<__main__.objective object at 0x7f83d00dcbe0>,0.004481077194213867,False,,,10,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.03704977035522461,43029,BOSS8-OS,172.25.0.208,0.03704977035522461,0,10
<__main__.objective object at 0x7f83d00dce48>,0.006733894348144531,False,,,11,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.04378366470336914,43029,BOSS8-OS,172.25.0.208,0.04378366470336914,0,11
<__main__.objective object at 0x7f83d00dcd30>,0.0029425621032714844,False,,,12,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.046726226806640625,43029,BOSS8-OS,172.25.0.208,0.046726226806640625,0,12
<__main__.objective object at 0x7f83d00dcf28>,0.003091573715209961,False,,,13,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.049817800521850586,43029,BOSS8-OS,172.25.0.208,0.049817800521850586,0,13
<__main__.objective object at 0x7f83d00dcf60>,0.0028181076049804688,False,,,14,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.052635908126831055,43029,BOSS8-OS,172.25.0.208,0.052635908126831055,0,14
<__main__.objective object at 0x7f83d00dcfd0>,0.0026149749755859375,False,,,15,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.05525088310241699,43029,BOSS8-OS,172.25.0.208,0.05525088310241699,0,15
<__main__.objective object at 0x7f83d00dc9b0>,0.002744436264038086,False,,,16,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.05799531936645508,43029,BOSS8-OS,172.25.0.208,0.05799531936645508,0,16
<__main__.objective object at 0x7f83d00dcda0>,0.0028514862060546875,False,,,17,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.060846805572509766,43029,BOSS8-OS,172.25.0.208,0.060846805572509766,0,17
<__main__.objective object at 0x7f83d00dce80>,0.0027565956115722656,False,,,18,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.06360340118408203,43029,BOSS8-OS,172.25.0.208,0.06360340118408203,0,18
<__main__.objective object at 0x7f83d00dc7f0>,0.003807544708251953,False,,,19,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.06741094589233398,43029,BOSS8-OS,172.25.0.208,0.06741094589233398,0,19
<__main__.objective object at 0x7f83d019d8d0>,0.00470733642578125,False,,,20,eaa7c_00000,ec293c5d70364164b5701a8b60342d47,2022-02-09_04-59-10,1644362950,0.07211828231811523,43029,BOSS8-OS,172.25.0.208,0.07211828231811523,0,20
