score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
<__main__.objective object at 0x7f83d0099668>,0.0015358924865722656,False,,,1,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.0015358924865722656,43034,BOSS8-OS,172.25.0.208,0.0015358924865722656,0,1
<__main__.objective object at 0x7f83d0028cf8>,0.017467975616455078,False,,,2,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.019003868103027344,43034,BOSS8-OS,172.25.0.208,0.019003868103027344,0,2
<__main__.objective object at 0x7f83d0028cc0>,0.009820938110351562,False,,,3,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.028824806213378906,43034,BOSS8-OS,172.25.0.208,0.028824806213378906,0,3
<__main__.objective object at 0x7f83d0028f98>,0.0033860206604003906,False,,,4,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.0322108268737793,43034,BOSS8-OS,172.25.0.208,0.0322108268737793,0,4
<__main__.objective object at 0x7f83d0028e10>,0.002655506134033203,False,,,5,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.0348663330078125,43034,BOSS8-OS,172.25.0.208,0.0348663330078125,0,5
<__main__.objective object at 0x7f83d0028be0>,0.0026912689208984375,False,,,6,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.03755760192871094,43034,BOSS8-OS,172.25.0.208,0.03755760192871094,0,6
<__main__.objective object at 0x7f83d0028ef0>,0.002598285675048828,False,,,7,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.040155887603759766,43034,BOSS8-OS,172.25.0.208,0.040155887603759766,0,7
<__main__.objective object at 0x7f83d0028f28>,0.003062009811401367,False,,,8,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.04321789741516113,43034,BOSS8-OS,172.25.0.208,0.04321789741516113,0,8
<__main__.objective object at 0x7f83d0028cf8>,0.004256248474121094,False,,,9,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.04747414588928223,43034,BOSS8-OS,172.25.0.208,0.04747414588928223,0,9
<__main__.objective object at 0x7f83d0028be0>,0.002807140350341797,False,,,10,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.05028128623962402,43034,BOSS8-OS,172.25.0.208,0.05028128623962402,0,10
<__main__.objective object at 0x7f83d0028e80>,0.005145549774169922,False,,,11,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.055426836013793945,43034,BOSS8-OS,172.25.0.208,0.055426836013793945,0,11
<__main__.objective object at 0x7f83d0028748>,0.00832366943359375,False,,,12,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.0637505054473877,43034,BOSS8-OS,172.25.0.208,0.0637505054473877,0,12
<__main__.objective object at 0x7f83d00289e8>,0.0033025741577148438,False,,,13,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.06705307960510254,43034,BOSS8-OS,172.25.0.208,0.06705307960510254,0,13
<__main__.objective object at 0x7f83d0028780>,0.0033197402954101562,False,,,14,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.0703728199005127,43034,BOSS8-OS,172.25.0.208,0.0703728199005127,0,14
<__main__.objective object at 0x7f83d0028240>,0.005362033843994141,False,,,15,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.07573485374450684,43034,BOSS8-OS,172.25.0.208,0.07573485374450684,0,15
<__main__.objective object at 0x7f83d0028208>,0.002857208251953125,False,,,16,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.07859206199645996,43034,BOSS8-OS,172.25.0.208,0.07859206199645996,0,16
<__main__.objective object at 0x7f83d0028b38>,0.010494470596313477,False,,,17,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.08908653259277344,43034,BOSS8-OS,172.25.0.208,0.08908653259277344,0,17
<__main__.objective object at 0x7f83d0028f60>,0.002929210662841797,False,,,18,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.09201574325561523,43034,BOSS8-OS,172.25.0.208,0.09201574325561523,0,18
<__main__.objective object at 0x7f83d00289e8>,0.002492189407348633,False,,,19,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.09450793266296387,43034,BOSS8-OS,172.25.0.208,0.09450793266296387,0,19
<__main__.objective object at 0x7f83d0028780>,0.00274658203125,False,,,20,1744b_00000,cf4b6fab797b488f80d552a1cf31dbf2,2022-02-09_05-00-25,1644363025,0.09725451469421387,43034,BOSS8-OS,172.25.0.208,0.09725451469421387,0,20
