score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.013874530792236328,False,,,1,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.013874530792236328,43000,BOSS8-OS,172.25.0.208,0.013874530792236328,0,1
7,0.007644176483154297,False,,,2,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.021518707275390625,43000,BOSS8-OS,172.25.0.208,0.021518707275390625,0,2
8,0.0039174556732177734,False,,,3,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.0254361629486084,43000,BOSS8-OS,172.25.0.208,0.0254361629486084,0,3
9,0.0030732154846191406,False,,,4,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.02850937843322754,43000,BOSS8-OS,172.25.0.208,0.02850937843322754,0,4
10,0.0038709640502929688,False,,,5,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.03238034248352051,43000,BOSS8-OS,172.25.0.208,0.03238034248352051,0,5
11,0.0035750865936279297,False,,,6,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.03595542907714844,43000,BOSS8-OS,172.25.0.208,0.03595542907714844,0,6
12,0.0032024383544921875,False,,,7,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.039157867431640625,43000,BOSS8-OS,172.25.0.208,0.039157867431640625,0,7
13,0.004300832748413086,False,,,8,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.04345870018005371,43000,BOSS8-OS,172.25.0.208,0.04345870018005371,0,8
14,0.0040628910064697266,False,,,9,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.04752159118652344,43000,BOSS8-OS,172.25.0.208,0.04752159118652344,0,9
15,0.003905773162841797,False,,,10,85330_00000,c2fea6c01fa743cab285706db101d52f,2022-02-09_05-32-09,1644364929,0.051427364349365234,43000,BOSS8-OS,172.25.0.208,0.051427364349365234,0,10
