score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
13,0.007753610610961914,False,,,1,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.007753610610961914,43002,BOSS8-OS,172.25.0.208,0.007753610610961914,0,1
14,0.009359359741210938,False,,,2,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.01711297035217285,43002,BOSS8-OS,172.25.0.208,0.01711297035217285,0,2
15,0.003598928451538086,False,,,3,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.020711898803710938,43002,BOSS8-OS,172.25.0.208,0.020711898803710938,0,3
16,0.004170656204223633,False,,,4,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.02488255500793457,43002,BOSS8-OS,172.25.0.208,0.02488255500793457,0,4
17,0.0032618045806884766,False,,,5,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.028144359588623047,43002,BOSS8-OS,172.25.0.208,0.028144359588623047,0,5
18,0.007456064224243164,False,,,6,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.03560042381286621,43002,BOSS8-OS,172.25.0.208,0.03560042381286621,0,6
19,0.007043600082397461,False,,,7,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.04264402389526367,43002,BOSS8-OS,172.25.0.208,0.04264402389526367,0,7
20,0.0032863616943359375,False,,,8,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.04593038558959961,43002,BOSS8-OS,172.25.0.208,0.04593038558959961,0,8
21,0.0034639835357666016,False,,,9,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.04939436912536621,43002,BOSS8-OS,172.25.0.208,0.04939436912536621,0,9
22,0.0041196346282958984,False,,,10,8b6f2_00000,7695a3725bf64dcaa1954f8b14bc8857,2022-02-09_05-32-19,1644364939,0.05351400375366211,43002,BOSS8-OS,172.25.0.208,0.05351400375366211,0,10
