score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.0009210109710693359,False,,,1,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.0009210109710693359,42857,BOSS8-OS,172.25.0.208,0.0009210109710693359,0,1
7,0.018739938735961914,False,,,2,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.01966094970703125,42857,BOSS8-OS,172.25.0.208,0.01966094970703125,0,2
8,0.008008003234863281,False,,,3,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.02766895294189453,42857,BOSS8-OS,172.25.0.208,0.02766895294189453,0,3
9,0.010742902755737305,False,,,4,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.038411855697631836,42857,BOSS8-OS,172.25.0.208,0.038411855697631836,0,4
10,0.11812186241149902,False,,,5,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.15653371810913086,42857,BOSS8-OS,172.25.0.208,0.15653371810913086,0,5
11,0.059350013732910156,False,,,6,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.21588373184204102,42857,BOSS8-OS,172.25.0.208,0.21588373184204102,0,6
12,0.007269859313964844,False,,,7,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.22315359115600586,42857,BOSS8-OS,172.25.0.208,0.22315359115600586,0,7
13,0.008372783660888672,False,,,8,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.23152637481689453,42857,BOSS8-OS,172.25.0.208,0.23152637481689453,0,8
14,0.00525355339050293,False,,,9,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.23677992820739746,42857,BOSS8-OS,172.25.0.208,0.23677992820739746,0,9
15,0.06276345252990723,False,,,10,cb33a_00005,b5bf0028f6304525bad5824c2d3e45af,2022-02-09_05-34-08,1644365048,0.2995433807373047,42857,BOSS8-OS,172.25.0.208,0.2995433807373047,0,10
