score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
4,0.0008306503295898438,False,,,1,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-28,1644365068,0.0008306503295898438,42733,BOSS8-OS,172.25.0.208,0.0008306503295898438,0,1
5,0.012347698211669922,False,,,2,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-28,1644365068,0.013178348541259766,42733,BOSS8-OS,172.25.0.208,0.013178348541259766,0,2
6,0.014220476150512695,False,,,3,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-28,1644365068,0.02739882469177246,42733,BOSS8-OS,172.25.0.208,0.02739882469177246,0,3
7,0.024890661239624023,False,,,4,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.052289485931396484,42733,BOSS8-OS,172.25.0.208,0.052289485931396484,0,4
8,0.02503061294555664,False,,,5,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.07732009887695312,42733,BOSS8-OS,172.25.0.208,0.07732009887695312,0,5
9,0.021782398223876953,False,,,6,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.09910249710083008,42733,BOSS8-OS,172.25.0.208,0.09910249710083008,0,6
10,0.024195432662963867,False,,,7,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.12329792976379395,42733,BOSS8-OS,172.25.0.208,0.12329792976379395,0,7
11,0.03982090950012207,False,,,8,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.16311883926391602,42733,BOSS8-OS,172.25.0.208,0.16311883926391602,0,8
12,0.03934621810913086,False,,,9,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.20246505737304688,42733,BOSS8-OS,172.25.0.208,0.20246505737304688,0,9
13,0.012169122695922852,False,,,10,d78a9_00003,2ff189fb303d4d8db471033b09ec1d5a,2022-02-09_05-34-29,1644365069,0.21463418006896973,42733,BOSS8-OS,172.25.0.208,0.21463418006896973,0,10
