score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.0010445117950439453,False,,,1,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.0010445117950439453,42633,BOSS8-OS,172.25.0.208,0.0010445117950439453,0,1
7,0.007600069046020508,False,,,2,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.008644580841064453,42633,BOSS8-OS,172.25.0.208,0.008644580841064453,0,2
8,0.005740642547607422,False,,,3,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.014385223388671875,42633,BOSS8-OS,172.25.0.208,0.014385223388671875,0,3
9,0.004695892333984375,False,,,4,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.01908111572265625,42633,BOSS8-OS,172.25.0.208,0.01908111572265625,0,4
10,0.004891395568847656,False,,,5,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.023972511291503906,42633,BOSS8-OS,172.25.0.208,0.023972511291503906,0,5
11,0.006066560745239258,False,,,6,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.030039072036743164,42633,BOSS8-OS,172.25.0.208,0.030039072036743164,0,6
12,0.008178472518920898,False,,,7,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.03821754455566406,42633,BOSS8-OS,172.25.0.208,0.03821754455566406,0,7
13,0.009236812591552734,False,,,8,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.0474543571472168,42633,BOSS8-OS,172.25.0.208,0.0474543571472168,0,8
14,0.008173465728759766,False,,,9,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.05562782287597656,42633,BOSS8-OS,172.25.0.208,0.05562782287597656,0,9
15,0.012788057327270508,False,,,10,ded72_00001,3856c29609054cd0bc52ddc9f14e444c,2022-02-09_05-34-41,1644365081,0.06841588020324707,42633,BOSS8-OS,172.25.0.208,0.06841588020324707,0,10
