score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
7,0.0004277229309082031,False,,,1,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-53,1644365213,0.0004277229309082031,17801,BOSS8-OS,172.25.0.208,0.0004277229309082031,0,1
8,0.06542468070983887,False,,,2,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-53,1644365213,0.06585240364074707,17801,BOSS8-OS,172.25.0.208,0.06585240364074707,0,2
9,0.008030414581298828,False,,,3,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-53,1644365213,0.0738828182220459,17801,BOSS8-OS,172.25.0.208,0.0738828182220459,0,3
10,0.026972055435180664,False,,,4,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-53,1644365213,0.10085487365722656,17801,BOSS8-OS,172.25.0.208,0.10085487365722656,0,4
11,0.05641055107116699,False,,,5,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-54,1644365214,0.15726542472839355,17801,BOSS8-OS,172.25.0.208,0.15726542472839355,0,5
12,0.006522417068481445,False,,,6,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-54,1644365214,0.163787841796875,17801,BOSS8-OS,172.25.0.208,0.163787841796875,0,6
13,0.004897117614746094,False,,,7,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-54,1644365214,0.1686849594116211,17801,BOSS8-OS,172.25.0.208,0.1686849594116211,0,7
14,0.043555498123168945,False,,,8,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-54,1644365214,0.21224045753479004,17801,BOSS8-OS,172.25.0.208,0.21224045753479004,0,8
15,0.005575895309448242,False,,,9,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-54,1644365214,0.21781635284423828,17801,BOSS8-OS,172.25.0.208,0.21781635284423828,0,9
16,0.005966901779174805,False,,,10,2e0d5_00002,2f74e105695147bd8c7b08042e816d0c,2022-02-09_05-36-54,1644365214,0.22378325462341309,17801,BOSS8-OS,172.25.0.208,0.22378325462341309,0,10
