score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.00038433074951171875,False,,,1,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.00038433074951171875,17715,BOSS8-OS,172.25.0.208,0.00038433074951171875,0,1
7,0.007872581481933594,False,,,2,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.008256912231445312,17715,BOSS8-OS,172.25.0.208,0.008256912231445312,0,2
8,0.02771735191345215,False,,,3,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.03597426414489746,17715,BOSS8-OS,172.25.0.208,0.03597426414489746,0,3
9,0.009663105010986328,False,,,4,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.04563736915588379,17715,BOSS8-OS,172.25.0.208,0.04563736915588379,0,4
10,0.008602380752563477,False,,,5,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.054239749908447266,17715,BOSS8-OS,172.25.0.208,0.054239749908447266,0,5
11,0.008450508117675781,False,,,6,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.06269025802612305,17715,BOSS8-OS,172.25.0.208,0.06269025802612305,0,6
12,0.025888442993164062,False,,,7,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.08857870101928711,17715,BOSS8-OS,172.25.0.208,0.08857870101928711,0,7
13,0.03203248977661133,False,,,8,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.12061119079589844,17715,BOSS8-OS,172.25.0.208,0.12061119079589844,0,8
14,0.02502751350402832,False,,,9,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.14563870429992676,17715,BOSS8-OS,172.25.0.208,0.14563870429992676,0,9
15,0.06140565872192383,False,,,10,34f68_00001,a40a84fd99f44a8a894f80a9c850dedf,2022-02-09_05-37-05,1644365225,0.20704436302185059,17715,BOSS8-OS,172.25.0.208,0.20704436302185059,0,10
