score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
7,0.0006220340728759766,False,,,1,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.0006220340728759766,17692,BOSS8-OS,172.25.0.208,0.0006220340728759766,0,1
8,0.02451038360595703,False,,,2,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.025132417678833008,17692,BOSS8-OS,172.25.0.208,0.025132417678833008,0,2
9,0.025556087493896484,False,,,3,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.05068850517272949,17692,BOSS8-OS,172.25.0.208,0.05068850517272949,0,3
10,0.009895563125610352,False,,,4,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.060584068298339844,17692,BOSS8-OS,172.25.0.208,0.060584068298339844,0,4
11,0.059270620346069336,False,,,5,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.11985468864440918,17692,BOSS8-OS,172.25.0.208,0.11985468864440918,0,5
12,0.038257598876953125,False,,,6,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.1581122875213623,17692,BOSS8-OS,172.25.0.208,0.1581122875213623,0,6
13,0.02285146713256836,False,,,7,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.18096375465393066,17692,BOSS8-OS,172.25.0.208,0.18096375465393066,0,7
14,0.00973200798034668,False,,,8,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.19069576263427734,17692,BOSS8-OS,172.25.0.208,0.19069576263427734,0,8
15,0.005162715911865234,False,,,9,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.19585847854614258,17692,BOSS8-OS,172.25.0.208,0.19585847854614258,0,9
16,0.02823042869567871,False,,,10,2349a_00002,6bc9fc0c8f514b4e9851aa8f7ea31150,2022-02-09_05-43-45,1644365625,0.2240889072418213,17692,BOSS8-OS,172.25.0.208,0.2240889072418213,0,10
